balancing_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2013-04-10,PCAR4,P.ACUCAR-CBD,14826,2013-02-20 20:34:22,2012-12-31,263.41,3406.003,2869.207,0.1341936197540662,28464.084600000002,31870.087600000003,0.09002821190864878,11
2013-04-10,EUCA4,EUCATEX,5770,2013-03-20 19:44:00,2012-12-31,92.619,193.112,172.774,0.0903742144919449,818.7519599999999,1011.8639599999999,0.17074824959671459,12
2013-04-10,TIMP3,TIM PART S/A,17639,2013-02-06 02:38:39,2012-12-31,2417.632647,-40.495,2321.445,0.1110870100327173,21009.22770243,20968.73270243,0.11070983797370718,13
2013-04-10,HBOR3,HELBOR,20877,2013-03-25 17:54:40,2012-12-31,195.291,643.352,317.837,0.118543151594129,2677.43961,3320.7916099999998,0.09571121507380585,14
2013-04-10,HGTX3,CIA HERING,14761,2013-02-21 19:03:29,2012-12-31,164.224,-168.763,373.13,0.4002779416712583,6389.955839999999,6221.192839999999,0.059977243849589475,15
2013-04-10,RDNI3,RODOBENSIMOB,20451,2013-03-26 18:25:07,2012-12-31,48.575,258.467,124.733,0.0812745258710053,716.967,975.434,0.12787436156623616,16
2013-04-10,TGMA3,TEGMA,20800,2013-03-31 22:39:16,2012-12-31,66.002,284.76,154.573,0.1457537914234893,1989.30028,2274.0602799999997,0.06797225269683706,17
2013-04-10,BEMA3,BEMATECH,20656,2013-03-04 18:02:15,2012-12-31,51.56827,-32.046,44.86,0.0864054351410586,460.5046511,428.4586511,0.10470088510251578,18
2013-04-10,AUTM3,AUTOMETAL,22381,2013-02-28 06:18:01,2012-12-31,125.908,-85.903,213.968,0.1201198315825287,2670.50868,2584.60568,0.08278554893526349,19
2013-04-10,EZTC3,EZTEC,20770,2013-03-19 21:23:21,2012-12-31,146.72412,-33.004,309.999,0.1244909999288098,4130.2839779999995,4097.279978,0.07565970635751366,20
2013-04-10,EVEN3,EVEN,20524,2013-03-04 20:04:10,2012-12-31,233.293408,976.923,326.279,0.0774060938064453,2318.93647552,3295.85947552,0.09899663575569215,21
2013-04-10,ALPA4,ALPARGATAS,10456,2013-03-15 18:37:26,2012-12-31,388.801,-318.155,291.759,0.1470852648873836,5163.277279999999,4845.12228,0.06021705606984186,22
