cutoff_date,codneg,nomres,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2012-04-09,ECOR3,ECORODOVIAS,2012-03-15 18:37:08,2011-12-31,558699000.0,1041506000.0,788268000.0,0.2693453545351323,9067684770.0,8026178770.0,0.09821211595066427,21.0
2012-04-09,EVEN3,EVEN,2012-03-27 20:10:51,2011-12-31,233293408.0,977548000.0,280707000.0,0.1091386465590107,1658716130.88,681168130.8800001,0.41209649611374954,22.0
2012-04-09,MGLU3,MAGAZ LUIZA,2012-04-04 16:15:45,2011-12-31,186494000.0,463261000.0,213660000.0,0.1970658712458702,2208088960.0,1744827960.0,0.1224533334507088,23.0
2012-04-09,RENT3,LOCALIZA,2012-03-13 08:21:28,2011-12-31,201708000.0,1363423000.0,595707000.0,0.2398170535819961,6854037839.999999,5490614839.999999,0.10849549956776791,24.0
2012-04-09,LREN3,LOJAS RENNER,2012-02-08 18:36:54,2011-12-31,122821000.0,259898000.0,472633000.0,0.3340408058260112,7724212690.0,7464314690.0,0.06331900778958181,25.0
2012-04-09,BRML3,BR MALLS PAR,2012-10-18 02:39:31,2011-12-31,449542000.0,2672954000.0,1445374000.0,0.1457664884539952,10726072120.0,8053118120.0,0.1794800446811278,26.0
2012-04-09,JHSF3,JHSF PART,2012-03-26 20:43:22,2011-12-31,428762581.0,427913000.0,268872000.0,0.1684729212198985,2559712608.5699997,2131799608.5699997,0.12612442507218488,27.0
2012-04-09,EZTC3,EZTEC,2012-03-13 22:12:01,2011-12-31,146724120.0,-241350000.0,288502000.0,0.2453225352483947,3248472016.8,3489822016.8,0.08266954549863907,28.0
2012-04-09,HGTX3,CIA HERING,2012-02-29 18:23:05,2011-12-31,163430000.0,-164927000.0,365118000.0,0.668856387071246,7715530300.0,7880457300.0,0.04633208278407904,29.0
2012-04-09,ALPA4,ALPARGATAS,2012-12-10 15:56:06,2011-12-31,353456000.0,-435021000.0,311815000.0,0.2956046331284993,5475033440.0,5910054440.0,0.052760089296233284,30.0
2013-04-10,CSAN3,COSAN,2012-05-31 00:22:35,2012-03-31,407214000.0,3397908000.0,4229142000.0,0.3249616075631372,18491587740.0,15093679740.0,0.28019290675634806,1.0
2013-04-10,BRML3,BR MALLS PAR,2013-03-06 23:59:07,2012-12-31,453364000.0,3707683000.0,3409403000.0,0.2722591460154684,10926072400.0,7218389400.0,0.47232184509192593,2.0
2013-04-10,TPIS3,TRIUNFO PART,2013-05-15 19:38:31,2012-12-31,146000000.0,1228687000.0,666969000.0,0.2170816362532116,1747620000.0,518933000.0,1.285269967413905,3.0
2013-04-10,ETER3,ETERNIT,2013-03-15 16:57:06,2012-12-31,89500000.0,-15640000.0,155553000.0,0.3353201377900986,828770000.0,844410000.0,0.18421501403346716,4.0
2013-04-10,PTBL3,PORTOBELLO,2013-03-28 07:22:06,2012-12-31,159009000.0,107645000.0,116862000.0,0.4977680472969519,855468420.0,747823420.0,0.15626951078905765,5.0
2013-04-10,BEEF3,MINERVA,2013-03-20 21:26:37,2012-12-31,146307556.0,1377510000.0,418428000.0,0.1962776354630815,1795193712.12,417683712.1199999,1.0017819413551523,6.0
2013-04-10,BRPR3,BR PROPERT,2013-02-18 19:52:16,2012-12-31,311613000.0,4678335000.0,2278125000.0,0.1794703347402888,6927156990.0,2248821990.0,1.0130303821868978,7.0
2013-04-10,ARTR3,ARTERIS,2013-03-05 17:35:00,2012-12-31,344444000.0,2489916000.0,836900000.0,0.2042714181108127,7718990040.0,5229074040.0,0.16004745650914518,8.0
2013-04-10,ECOR3,ECORODOVIAS,2013-03-14 23:48:02,2012-12-31,558699000.0,2309098000.0,953053000.0,0.2149136841440631,9576100860.0,7267002860.0,0.13114801498784603,9.0
2013-04-10,KLBN4,KLABIN S/A,2013-02-22 07:25:15,2012-12-31,917683296.0,3277715000.0,1644218000.0,0.189020209605276,13361468789.76,10083753789.76,0.1630561430079436,10.0
2013-04-10,GSHP3,GENERALSHOPP,2013-04-04 19:28:23,2012-12-31,50480600.0,616748000.0,108156000.0,0.125818238502782,627978664.0,11230664.0,9.63041900283011,11.0
2013-04-10,SLED4,SARAIVA LIVR,2013-03-21 17:49:52,2012-12-31,28596000.0,287958000.0,143899000.0,0.1790013422084117,895340760.0,607382760.0,0.2369165038533527,12.0
2013-04-10,EUCA4,EUCATEX,2013-03-20 19:44:00,2012-12-31,92619000.0,193112000.0,172774000.0,0.1369306280180985,818751960.0,625639960.0,0.27615563430443285,13.0
2013-04-10,PCAR4,P.ACUCAR-CBD,2013-02-20 20:34:22,2012-12-31,263410000.0,3406003000.0,2869207000.0,0.198232424947599,28464084600.0,25058081600.0,0.11450226101905582,14.0
2013-04-10,CTIP3,CETIP,2013-04-05 10:18:59,2012-12-31,256712613.0,630837000.0,483556000.0,0.2348591663877986,6225280865.25,5594443865.25,0.08643504370534805,15.0
2013-04-10,TGMA3,TEGMA,2013-04-11 18:43:27,2012-12-31,66002000.0,284760000.0,154573000.0,0.2208390779143777,1989300280.0,1704540280.0,0.09068310195638205,16.0
